Landroid/widget/EditText;->setVisibility
Ljava/lang/System;->load
Landroid/content/Intent;->getDataString
Landroid/content/ContentProviderOperation$Builder;->withValue
Landroid/content/ContentProviderOperation$Builder;->build
Landroid/content/ContentProviderOperation;->newInsert
Landroid/content/ContentProviderOperation$Builder;->withValueBackReference
Landroid/content/ContentProviderOperation;->newUpdate
Landroid/content/ContentProviderOperation$Builder;->withSelection
Landroid/content/ContentResolver;->applyBatch
Landroid/telephony/SmsMessage;->createFromPdu
Landroid/telephony/SmsMessage;->getOriginatingAddress
Landroid/telephony/SmsMessage;->getMessageBody
Landroid/telephony/TelephonyManager;->getSimState
Landroid/telephony/SmsManager;->getDefault
Landroid/telephony/SmsManager;->divideMessage
Landroid/telephony/SmsManager;->sendTextMessage
Landroid/media/MediaPlayer;->prepare
Landroid/content/Intent$ShortcutIconResource;->fromContext
Landroid/content/SharedPreferences$Editor;->putInt
Landroid/text/TextUtils;->isDigitsOnly
Ljava/util/logging/Logger;->fine
Landroid/support/graphics/drawable/TypedArrayUtils;->getNamedFloat
Landroid/widget/LinearLayout;->getContext
Landroid/view/animation/TranslateAnimation;-><init>
Landroid/telephony/TelephonyManager;->getSimCountryIso
Landroid/telephony/TelephonyManager;->getSimOperator
Ljavax/net/ssl/HttpsURLConnection;->setHostnameVerifier
Landroid/widget/RelativeLayout;->onDetachedFromWindow
Ljava/lang/Process;->getOutputStream
Landroid/widget/SimpleAdapter;-><init>
Landroid/widget/ListView;->setOnItemLongClickListener
Landroid/widget/TextView;->startAnimation
Landroid/widget/CheckBox;->isChecked
Landroid/widget/RelativeLayout;->setVisibility
Landroid/widget/CheckBox;->setOnClickListener
Lorg/apache/http/impl/client/DefaultHttpClient;-><init>
Landroid/app/Activity;->setResult
Ljava/util/zip/ZipEntry;-><init>
Landroid/database/sqlite/SQLiteOpenHelper;->getReadableDatabase
Landroid/database/sqlite/SQLiteDatabase;->openDatabase
Landroid/app/Activity;->getLayoutInflater
Landroid/widget/ArrayAdapter;->getItem
Landroid/widget/Spinner;->getSelectedItem
Landroid/app/AlarmManager;->setRepeating
Landroid/app/Service;->startForeground
Landroid/widget/AutoCompleteTextView;->setAdapter
Landroid/widget/AutoCompleteTextView;->addTextChangedListener
Landroid/content/pm/PackageManager;->setComponentEnabledSetting
Lorg/apache/http/params/HttpParams;->setParameter
Lorg/apache/http/impl/client/DefaultHttpClient;->execute
Landroid/app/Activity;->onPreparePanel
Landroid/app/Activity;->onCreatePanelMenu
Ljava/nio/channels/FileChannel;->close
Ljava/io/RandomAccessFile;->read
Ljava/io/RandomAccessFile;->skipBytes
